anio_inicio,alcaldia_hecho,total_delitos,poblacion,tasa de delitos,,,,,,,,,,,,,,
2016,ALVARO OBREGON,80,753643,"10,61511",,,,,,,,,,,,,,
2016,AZCAPOTZALCO,47,400669,"11,73038",,,,,,,,,,,,,,
2016,BENITO JUAREZ,40,422186,"9,47450",,,,,,,,,,,,,,
2016,COYOACAN,68,607246,"11,19810",,,,,TASA DE HOMICIDIOS POR CADA 100 MIL PERSONAS EN LA CIUDAD DE MÉXICO,,,,,,,,,
2016,CUAJIMALPA DE MORELOS,18,202405,"8,89306",,,,,alcaldia/año,2016,2017,2018,2019,2020,2021,2022,2023,2024
2016,CUAUHTEMOC,156,533206,"29,25699",,,,,ALVARO OBREGON,"10,61511","18,10802","15,06798","20,93485","12,64594","10,29957","12,20405","10,95438","14,56971"
2016,GUSTAVO A. MADERO,200,1161356,"17,22125",,,,,AZCAPOTZALCO,"11,73038","14,37123","17,09610","16,95284","15,27053","13,55014","11,83234","13,14623","11,17277"
2016,IZTACALCO,65,392955,"16,54133",,,,,BENITO JUAREZ,"9,47450","9,14857","9,30895","8,32697","8,75267","7,58427","9,42195","8,06023","10,17833"
2016,IZTAPALAPA,324,1831605,"17,68940",,,,,COYOACAN,"11,19810","10,37931","12,17261","14,09076","11,39236","8,70234","9,54189","9,06895","12,55764"
2016,LA MAGDALENA CONTRERAS,22,244434,"9,00038",,,,,CUAJIMALPA DE MORELOS,"8,89306","15,54704","16,70612","15,46015","10,10630","11,25011","11,00982","11,62535","12,19620"
2016,MIGUEL HIDALGO,68,365736,"18,59265",,,,,CUAUHTEMOC,"29,25699","29,55398","32,40042","29,96105","26,56242","22,61117","21,18286","22,16451","24,03219"
2016,MILPA ALTA,22,139636,"15,75525",,,,,GUSTAVO A. MADERO,"17,22125","19,48170","23,94040","22,22337","19,00540","16,53213","16,79526","16,23934","12,83597"
2016,TLAHUAC,51,366914,"13,89971",,,,,IZTACALCO,"16,54133","12,38015","17,30342","17,42312","20,26217","13,25309","15,61223","13,66070","20,24711"
2016,TLALPAN,86,681049,"12,62758",,,,,IZTAPALAPA,"17,68940","15,64288","21,94167","20,08595","18,52370","16,21740","13,15585","15,87852","19,56244"
2016,VENUSTIANO CARRANZA,118,428812,"27,51789",,,,,LA MAGDALENA CONTRERAS,"9,00038","8,16287","12,21061","12,97995","9,69219","7,22834","6,37956","6,71841","11,72819"
2016,XOCHIMILCO,55,418194,"13,15179",,,,,MIGUEL HIDALGO,"18,59265","21,05940","17,92403","18,54015","15,44141","11,52344","11,48067","10,47721","10,49498"
2017,ALVARO OBREGON,137,756571,"18,10802",,,,,MILPA ALTA,"15,75525","16,21946","15,90661","18,22280","12,44392","6,94839","13,31671","14,98265","13,08216"
2017,AZCAPOTZALCO,58,403584,"14,37123",,,,,TLAHUAC,"13,89971","14,57451","17,83262","20,89477","19,88208","14,09572","15,73658","16,44842","14,13978"
2017,BENITO JUAREZ,39,426296,"9,14857",,,,,TLALPAN,"12,62758","15,18082","19,72698","23,62139","24,28821","15,70979","14,55704","16,71848","17,28472"
2017,COYOACAN,63,606977,"10,37931",,,,,VENUSTIANO CARRANZA,"27,51789","28,98894","29,00185","27,81495","26,14356","26,23633","23,42336","19,57465","21,93982"
2017,CUAJIMALPA DE MORELOS,32,205827,"15,54704",,,,,XOCHIMILCO,"13,15179","13,99072","19,68522","14,30354","12,66458","15,89015","14,57657","11,81129","14,35367"
2017,CUAUHTEMOC,158,534615,"29,55398",,,,,,,,,,,,,,
2017,GUSTAVO A. MADERO,226,1160063,"19,48170",,,,,,,,,,,,,,
2017,IZTACALCO,49,395795,"12,38015",,,,,,,,,,,,,,
2017,IZTAPALAPA,287,1834700,"15,64288",,,,,,,,,,,,,,
2017,LA MAGDALENA CONTRERAS,20,245012,"8,16287",,,,,,,,,,,,,,
2017,MIGUEL HIDALGO,78,370381,"21,05940",,,,,,,,,,,,,,
2017,MILPA ALTA,23,141805,"16,21946",,,,,,,,,,,,,,
2017,TLAHUAC,54,370510,"14,57451",,,,,,,,,,,,,,
2017,TLALPAN,104,685075,"15,18082",,,,,,,,,,,,,,
2017,VENUSTIANO CARRANZA,125,431199,"28,98894",,,,,,,,,,,,,,
2017,XOCHIMILCO,59,421708,"13,99072",,,,,,,,,,,,,,
2018,ALVARO OBREGON,114,756571,"15,06798",,,,,,,,,,,,,,
2018,AZCAPOTZALCO,70,409450,"17,09610",,,,,,,,,,,,,,
2018,BENITO JUAREZ,40,429694,"9,30895",,,,,,,,,,,,,,
2018,COYOACAN,74,607922,"12,17261",,,,,,,,,,,,,,
2018,CUAJIMALPA DE MORELOS,35,209504,"16,70612",,,,,,,,,,,,,,
2018,CUAUHTEMOC,174,537030,"32,40042",,,,,,,,,,,,,,
2018,GUSTAVO A. MADERO,278,1161217,"23,94040",,,,,,,,,,,,,,
2018,IZTACALCO,69,398765,"17,30342",,,,,,,,,,,,,,
2018,IZTAPALAPA,403,1836688,"21,94167",,,,,,,,,,,,,,
2018,LA MAGDALENA CONTRERAS,30,245688,"12,21061",,,,,,,,,,,,,,
2018,MIGUEL HIDALGO,68,379379,"17,92403",,,,,,,,,,,,,,
2018,MILPA ALTA,23,144594,"15,90661",,,,,,,,,,,,,,
2018,TLAHUAC,67,375716,"17,83262",,,,,,,,,,,,,,
2018,TLALPAN,136,689411,"19,72698",,,,,,,,,,,,,,
2018,VENUSTIANO CARRANZA,126,434455,"29,00185",,,,,,,,,,,,,,
2018,XOCHIMILCO,84,426716,"19,68522",,,,,,,,,,,,,,
2019,ALVARO OBREGON,159,759499,"20,93485",,,,,,,,,,,,,,
2019,AZCAPOTZALCO,71,418809,"16,95284",,,,,,,,,,,,,,
2019,BENITO JUAREZ,36,432330,"8,32697",,,,,,,,,,,,,,
2019,COYOACAN,86,610329,"14,09076",,,,,,,,,,,,,,
2019,CUAJIMALPA DE MORELOS,33,213452,"15,46015",,,,,,,,,,,,,,
2019,CUAUHTEMOC,162,540702,"29,96105",,,,,,,,,,,,,,
2019,GUSTAVO A. MADERO,259,1165440,"22,22337",,,,,,,,,,,,,,
2019,IZTACALCO,70,401765,"17,42312",,,,,,,,,,,,,,
2019,IZTAPALAPA,369,1837105,"20,08595",,,,,,,,,,,,,,
2019,LA MAGDALENA CONTRERAS,32,246534,"12,97995",,,,,,,,,,,,,,
2019,MIGUEL HIDALGO,73,393740,"18,54015",,,,,,,,,,,,,,
2019,MILPA ALTA,27,148166,"18,22280",,,,,,,,,,,,,,
2019,TLAHUAC,80,382871,"20,89477",,,,,,,,,,,,,,
2019,TLALPAN,164,694286,"23,62139",,,,,,,,,,,,,,
2019,VENUSTIANO CARRANZA,122,438613,"27,81495",,,,,,,,,,,,,,
2019,XOCHIMILCO,62,433459,"14,30354",,,,,,,,,,,,,,
2020,ALVARO OBREGON,96,759137,"12,64594",,,,,,,,,,,,,,
2020,AZCAPOTZALCO,66,432205,"15,27053",,,,,,,,,,,,,,
2020,BENITO JUAREZ,38,434153,"8,75267",,,,,,,,,,,,,,
2020,COYOACAN,70,614447,"11,39236",,,,,,,,,,,,,,
2020,CUAJIMALPA DE MORELOS,22,217686,"10,10630",,,,,,,,,,,,,,
2020,CUAUHTEMOC,145,545884,"26,56242",,,,,,,,,,,,,,
2020,GUSTAVO A. MADERO,223,1173351,"19,00540",,,,,,,,,,,,,,
