anio_inicio,alcaldia_hecho,total_delitos
2016,ALVARO OBREGON,80
2016,AZCAPOTZALCO,47
2016,BENITO JUAREZ,40
2016,COYOACAN,68
2016,CUAJIMALPA DE MORELOS,18
2016,CUAUHTEMOC,156
2016,GUSTAVO A. MADERO,200
2016,IZTACALCO,65
2016,IZTAPALAPA,324
2016,LA MAGDALENA CONTRERAS,22
2016,MIGUEL HIDALGO,68
2016,MILPA ALTA,22
2016,TLAHUAC,51
2016,TLALPAN,86
2016,VENUSTIANO CARRANZA,118
2016,XOCHIMILCO,55
2017,ALVARO OBREGON,137
2017,AZCAPOTZALCO,58
2017,BENITO JUAREZ,39
2017,COYOACAN,63
2017,CUAJIMALPA DE MORELOS,32
2017,CUAUHTEMOC,158
2017,GUSTAVO A. MADERO,226
2017,IZTACALCO,49
2017,IZTAPALAPA,287
2017,LA MAGDALENA CONTRERAS,20
2017,MIGUEL HIDALGO,78
2017,MILPA ALTA,23
2017,TLAHUAC,54
2017,TLALPAN,104
2017,VENUSTIANO CARRANZA,125
2017,XOCHIMILCO,59
2018,ALVARO OBREGON,114
2018,AZCAPOTZALCO,70
2018,BENITO JUAREZ,40
2018,COYOACAN,74
2018,CUAJIMALPA DE MORELOS,35
2018,CUAUHTEMOC,174
2018,GUSTAVO A. MADERO,278
2018,IZTACALCO,69
2018,IZTAPALAPA,403
2018,LA MAGDALENA CONTRERAS,30
2018,MIGUEL HIDALGO,68
2018,MILPA ALTA,23
2018,TLAHUAC,67
2018,TLALPAN,136
2018,VENUSTIANO CARRANZA,126
2018,XOCHIMILCO,84
2019,ALVARO OBREGON,159
2019,AZCAPOTZALCO,71
2019,BENITO JUAREZ,36
2019,COYOACAN,86
2019,CUAJIMALPA DE MORELOS,33
2019,CUAUHTEMOC,162
2019,GUSTAVO A. MADERO,259
2019,IZTACALCO,70
2019,IZTAPALAPA,369
2019,LA MAGDALENA CONTRERAS,32
2019,MIGUEL HIDALGO,73
2019,MILPA ALTA,27
2019,TLAHUAC,80
2019,TLALPAN,164
2019,VENUSTIANO CARRANZA,122
2019,XOCHIMILCO,62
2020,ALVARO OBREGON,96
2020,AZCAPOTZALCO,66
2020,BENITO JUAREZ,38
2020,COYOACAN,70
2020,CUAJIMALPA DE MORELOS,22
2020,CUAUHTEMOC,145
2020,GUSTAVO A. MADERO,223
2020,IZTACALCO,82
2020,IZTAPALAPA,340
2020,LA MAGDALENA CONTRERAS,24
2020,MIGUEL HIDALGO,64
2020,MILPA ALTA,19
2020,TLAHUAC,78
2020,TLALPAN,170
2020,VENUSTIANO CARRANZA,116
2020,XOCHIMILCO,56
2021,ALVARO OBREGON,78
2021,AZCAPOTZALCO,61
2021,BENITO JUAREZ,33
2021,COYOACAN,54
2021,CUAJIMALPA DE MORELOS,25
2021,CUAUHTEMOC,125
2021,GUSTAVO A. MADERO,196
2021,IZTACALCO,54
2021,IZTAPALAPA,297
2021,LA MAGDALENA CONTRERAS,18
2021,MIGUEL HIDALGO,51
2021,MILPA ALTA,11
2021,TLAHUAC,57
2021,TLALPAN,111
2021,VENUSTIANO CARRANZA,118
2021,XOCHIMILCO,72
2022,ALVARO OBREGON,92
2022,AZCAPOTZALCO,56
2022,BENITO JUAREZ,41
2022,COYOACAN,60
2022,CUAJIMALPA DE MORELOS,25
2022,CUAUHTEMOC,119
2022,GUSTAVO A. MADERO,202
2022,IZTACALCO,64
2022,IZTAPALAPA,240
2022,LA MAGDALENA CONTRERAS,16
2022,MIGUEL HIDALGO,55
2022,MILPA ALTA,22
2022,TLAHUAC,66
2022,TLALPAN,104
2022,VENUSTIANO CARRANZA,107
2022,XOCHIMILCO,68
2023,ALVARO OBREGON,82
2023,AZCAPOTZALCO,66
2023,BENITO JUAREZ,35
2023,COYOACAN,58
2023,CUAJIMALPA DE MORELOS,27
2023,CUAUHTEMOC,127
2023,GUSTAVO A. MADERO,199
2023,IZTACALCO,56
2023,IZTAPALAPA,288
2023,LA MAGDALENA CONTRERAS,17
2023,MIGUEL HIDALGO,55
2023,MILPA ALTA,26
2023,TLAHUAC,72
2023,TLALPAN,121
2023,VENUSTIANO CARRANZA,91
2023,XOCHIMILCO,57
2024,ALVARO OBREGON,108
2024,AZCAPOTZALCO,60
2024,BENITO JUAREZ,44
2024,COYOACAN,82
2024,CUAJIMALPA DE MORELOS,29
2024,CUAUHTEMOC,141
2024,GUSTAVO A. MADERO,161
2024,IZTACALCO,83
2024,IZTAPALAPA,352
2024,LA MAGDALENA CONTRERAS,30
2024,MIGUEL HIDALGO,61
2024,MILPA ALTA,24
2024,TLAHUAC,65
2024,TLALPAN,127
2024,VENUSTIANO CARRANZA,104
2024,XOCHIMILCO,72
2025,ALVARO OBREGON,12
2025,AZCAPOTZALCO,4
2025,BENITO JUAREZ,5
2025,COYOACAN,3
2025,CUAJIMALPA DE MORELOS,3
2025,CUAUHTEMOC,6
2025,GUSTAVO A. MADERO,8
2025,IZTACALCO,3
2025,IZTAPALAPA,21
2025,LA MAGDALENA CONTRERAS,3
2025,MIGUEL HIDALGO,5
2025,MILPA ALTA,2
2025,TLAHUAC,2
2025,TLALPAN,6
2025,VENUSTIANO CARRANZA,9
2025,XOCHIMILCO,6
