anio_inicio,colonia_hecho,total_delitos
2016,12 DE DICIEMBRE,1
2016,15 DE AGOSTO,1
2016,2 DE OCTUBRE,1
2016,20 DE NOVIEMBRE,4
2016,25 DE JULIO,3
2016,2A AMPLIACIÓN JALALPA TEPITO,1
2016,2A AMPLIACIÓN PRESIDENTES,2
2016,2A. AMPLIACIÓN SANTIAGO ACAHUALTEPEC,2
2016,2O REACOMODO TLACUITLAPA,1
2016,5O TRAMO 20 DE NOVIEMBRE,3
2016,6 DE JUNIO,1
2016,7 DE NOVIEMBRE,1
2016,8 DE AGOSTO,2
2016,ACACIAS,1
2016,ACUEDUCTO DE GUADALUPE,1
2016,ACULCO,1
2016,ADOLFO LÓPEZ MATEOS,1
2016,AERONÁUTICA MILITAR,1
2016,AEROPUERTO INTERNACIONAL BENITO JUÁREZ,1
2016,AGRÍCOLA METROPOLITANA,2
2016,AGRÍCOLA ORIENTAL,11
2016,AGRÍCOLA PANTITLAN,10
2016,AJUSCO,5
2016,ALBERT,1
2016,ALDANA,1
2016,ALFONSO XIII,2
2016,ALGARIN,1
2016,ALTAVISTA,1
2016,AMPLIACION MOLINO DE ROSAS,3
2016,AMPLIACION SAN FRANCISCO CULHUACAN,1
2016,AMPLIACION SAN MIGUEL 8VA.,1
2016,AMPLIACION ZONA URBANA EJIDAL SANTA MARIA AZTAHUAC,2
2016,AMPLIACIÓN ASTURIAS,1
2016,AMPLIACIÓN BENITO JUÁREZ,4
2016,AMPLIACIÓN CARACOL,1
2016,AMPLIACIÓN CASAS ALEMÁN,2
2016,AMPLIACIÓN DANIEL GARZA,2
2016,AMPLIACIÓN EL TRIUNFO,6
2016,AMPLIACIÓN EMILIANO ZAPATA,3
2016,AMPLIACIÓN ESTADO DE HIDALGO,1
2016,AMPLIACIÓN GABRIEL HERNÁNDEZ,3
2016,AMPLIACIÓN GABRIEL RAMOS MILLÁN,1
2016,AMPLIACIÓN GRANADA,1
2016,AMPLIACIÓN GUADALUPE PROLETARIA,1
2016,AMPLIACIÓN MICHOACANA,1
2016,AMPLIACIÓN PANAMERICANA,1
2016,AMPLIACIÓN PENITENCIARIA,3
2016,AMPLIACIÓN PROGRESO NACIONAL,3
2016,AMPLIACIÓN PROVIDENCIA,1
2016,AMPLIACIÓN RICARDO FLORES MAGÓN,2
2016,AMPLIACIÓN SAN PEDRO XALPA,1
2016,AMPLIACIÓN SANTA CATARINA,2
2016,AMPLIACIÓN TORRE BLANCA,1
2016,AMPLIACIÓN VENUSTIANO CARRANZA,1
2016,AMÉRICA,3
2016,ANAHUAC,8
2016,ANGEL ZIMBRON,2
2016,ANZURES,2
2016,APATLACO,3
2016,AQUILES SERDÁN,1
2016,ARAGÓN LA VILLA,3
2016,ARBOLEDAS DE CUAUTEPEC EL ALTO,2
2016,ARBOLEDAS DEL SUR,1
2016,AREA FEDERAL PANTEON SAN LORENZO TEZONCO,1
2016,ARENAL 1A SECCIÓN,1
2016,ARENAL 3A SECCIÓN,1
2016,ARENAL 4A SECCIÓN,3
2016,ARENAL PUERTO AÉREO,1
2016,ARENAL TEPEPAN,1
2016,ARGENTINA ANTIGUA,3
2016,ARGENTINA PONIENTE,3
2016,ARTES GRAFICAS,1
2016,ASTURIAS,1
2016,ATLAMPA,7
2016,AXOTLA,2
2016,AZTECA,1
2016,AÑO DE JUÁREZ,1
