año,alcaldia,poblacion,tasa_crecimiento
1990,Azcapotzalco,474688,
1991,Azcapotzalco,469723,-1.045950182014288
1992,Azcapotzalco,465388,-0.9228843382163565
1993,Azcapotzalco,461579,-0.8184568575038464
1994,Azcapotzalco,458195,-0.7331356062559191
1995,Azcapotzalco,455131,-0.66871092002313
1996,Azcapotzalco,452284,-0.625534186860488
1997,Azcapotzalco,449551,-0.6042663459242426
1998,Azcapotzalco,446830,-0.6052705922131141
1999,Azcapotzalco,444016,-0.6297697110758005
2000,Azcapotzalco,441008,-0.6774530647544186
2001,Azcapotzalco,437747,-0.7394423683924067
2002,Azcapotzalco,434368,-0.7719070604709999
2003,Azcapotzalco,431047,-0.7645590835420712
2004,Azcapotzalco,427964,-0.7152352295689335
2005,Azcapotzalco,425297,-0.6231832584049135
2006,Azcapotzalco,423148,-0.5052939475237328
2007,Azcapotzalco,421304,-0.4357813341903993
2008,Azcapotzalco,419476,-0.43389096709264274
2009,Azcapotzalco,417375,-0.5008629814339804
2010,Azcapotzalco,414711,-0.6382749326145576
2011,Azcapotzalco,411332,-0.8147842714565035
2012,Azcapotzalco,407645,-0.8963562280590809
2013,Azcapotzalco,404192,-0.8470605551398891
2014,Azcapotzalco,401516,-0.662061594489749
2015,Azcapotzalco,400161,-0.3374709849669699
2016,Azcapotzalco,400669,0.12694890306652606
2017,Azcapotzalco,403584,0.7275332007217861
2018,Azcapotzalco,409450,1.4534768474468773
2019,Azcapotzalco,418809,2.285749175723528
2020,Azcapotzalco,432205,3.1985941085315828
2021,Azcapotzalco,450180,4.158906074663649
2022,Azcapotzalco,473279,5.131058687636059
2023,Azcapotzalco,502045,6.078021632060571
2024,Azcapotzalco,537020,6.966506986425514
1990,Benito Juárez,407811,
1991,Benito Juárez,395835,-2.9366544796486593
1992,Benito Juárez,386418,-2.3790215620144717
1993,Benito Juárez,379202,-1.8674078329684485
1994,Benito Juárez,373834,-1.4156043480783365
1995,Benito Juárez,369956,-1.0373588277149737
1996,Benito Juárez,367213,-0.7414395225378123
1997,Benito Juárez,365249,-0.5348394528516098
1998,Benito Juárez,363709,-0.4216301755788465
1999,Benito Juárez,362237,-0.4047191573483211
2000,Benito Juárez,360478,-0.4855936859017751
2001,Benito Juárez,358235,-0.622229373221117
2002,Benito Juárez,355959,-0.6353371390288465
2003,Benito Juárez,354258,-0.47786402366564174
2004,Benito Juárez,353740,-0.14622111568405316
